text,canonical_form_1
son o bitch,bitch
son of a bitch,bitch
son-of-a-bitch,bitch
sonna bitch,bitch
sonofabitch,bitch
sonofbitches,bitch
sons of b1tches,bitch
sons of bitches,bitch
sons-of-bitches,bitch
sonz of bitchez,bitch
soppy bollucks,bollocks
spanking,spank
sperm,sperm
sphincter,sphincter
spic,spic
spicfuck,fuck
spick,spic
spics,spic
spicshit,spic
spig,spic
spik,spic
spix,spic
spook,spook
spooks,spook
spunk,spunk
stfu,fuck
stump chewer,stump chewer
stupid fucker,fuck
stupid hoe,hoe
stupidasses,ass
suck,suck
suck my cock,cock
suck my d,dick
suck my dick,dick
suck off,suck
sum of a bitch,bitch
sumbitch,bitch
swine,swine
swine fucker,fuck
tacohead,tacohead
tadger,tadger
taking the piss,taking the piss
tallywacker,tallywacker
tar-baby,tar-baby
tard,retard
tard asses,ass
tart,tart
throat yogurt,throat yogurt
throater,throater
tickle the pickle,tickle the pickle
timber nigger,nigger
tits,tit
tongue fucker,fuck
tongue fucking,fuck
tosser,tosser
tossing salad,tossing salad
towelhead,towelhead
towelheads,towelhead
towelshithead,towelhead
tramp,tramp
Tranny,tranny
transvestite,transvestite
trashb1tch,bitch
trashbitch,bitch
trashbitches,bitch
trashbitchez,bitch
trashbtch,bitch
trasherbitch,bitch
trasherbitchs,bitch
trashybitches,bitch
trouser snake,trouser snake
trousersnake,trousersnake
turdcutter,turd
turdhead,turd
tw@t,twat
twa+,twat
twat,twat
twat waffle,twat
twatface,twat
twats,twat
twatt,twat
twattish,twat
twatzilla,twat
twink,twink
upskirts,upskirt
useless fucker,fuck
vag,vagina
vajayjay,vagina
vulva,vulva
w@nker,wank
w@nkers,wank
w4nk3r,wank
w4nker,wank
wang,wang
wang wrangler,wang
wank,wank
wank off,wank
wank3r,wank
wank3rs,wank
wankbastard,wank
wanked,wank
wanker,wank
wankers,wank
wankies,wank
wanking,wank
wanks,wank
we1back,wetback
weenie,weenie
weiner,weiner
wet back,wetback
wetback,wetback
wetbacks,wetback
wh0r3,whore
wh0re,whore
whack off,whack off
what the fuck,fuck
whoar,whore
whoars,whore
whor3,whore
whore,whore
whores,whore
wigger,nigger
willy-whacker,willy-whacker
window licker,window licker
wise ass,ass
wnker,wank
wop,wop
wophead,wop
zip in the wire,zipperhead
zipperhead,zipperhead
